year,zcta,total_population,median_age,median_household_income,per_capita_income,total_housing_units,owner_occupied_units,renter_occupied_units,homeownership_rate,median_home_value,median_gross_rent,rent_as_pct_of_income
2023,71847,341,49.9,25556,15278,234,110,14,88.71,114700,-666666666,-666666666.0
2023,71851,1822,41.9,61250,26708,962,529,178,74.82,115200,810,31.8
2023,71852,10088,37.7,49971,26517,4481,2677,1163,69.71,157200,703,29.6
2023,71853,225,67.1,32292,29760,158,96,35,73.28,46300,800,23.8
2023,71854,35487,39.8,48211,28260,16882,8703,5262,62.32,157400,883,32.3
2023,71855,203,67.5,-666666666,24267,306,127,37,77.44,-666666666,-666666666,-666666666.0
2023,71857,5569,36.5,40423,19717,2512,1072,978,52.29,92200,853,40.2
2023,71858,1686,47.6,52981,26585,947,654,139,82.47,38100,647,28.1
2023,71859,179,63.7,63060,40176,210,98,11,89.91,187900,-666666666,-666666666.0
2023,71860,1966,44.1,34122,21276,1133,637,232,73.30,72500,716,31.9
2023,71861,2330,48.1,50588,23553,1592,747,151,83.18,114700,955,26.7
2023,71862,699,43.4,38504,17187,355,227,86,72.52,-666666666,849,51.0
2023,71864,81,56.0,64167,21753,45,37,1,97.37,9999,-666666666,-666666666.0
2023,71865,197,51.1,-666666666,25157,121,64,26,71.11,84800,967,33.3
2023,71866,323,32.0,-666666666,33614,301,93,58,61.59,128100,-666666666,-666666666.0
2023,71901,29719,42.5,52410,30957,14952,7775,4720,62.22,173400,797,29.7
2023,71909,18427,68.1,69171,42942,10563,8097,1246,86.66,255600,1143,32.1
2023,71913,46853,42.6,55367,33831,25441,13773,7103,65.98,179200,970,25.2
2023,71921,3591,39.1,57431,29235,1678,1034,209,83.19,96700,795,24.5
2023,71922,167,29.4,-666666666,12681,82,33,35,48.53,43200,714,51.0
2023,71923,14374,31.8,52344,28758,7087,3320,2522,56.83,164800,735,30.4
2023,71929,4673,46.8,54485,26957,2176,1590,246,86.60,196100,857,26.9
2023,71933,1162,42.4,47500,26337,581,392,104,79.03,122900,647,25.4
2023,71935,711,52.2,55344,28262,448,268,81,76.79,151000,-666666666,-666666666.0
2023,71937,2012,39.1,40167,28508,919,530,204,72.21,109600,738,28.8
2023,71940,1219,52.5,52944,29693,741,515,73,87.59,98700,606,29.6
2023,71941,2240,43.5,78929,36034,949,681,133,83.66,157600,912,18.3
2023,71942,137,36.4,85461,26211,49,43,6,87.76,119300,-666666666,-666666666.0
2023,71943,3708,43.8,45455,26244,1833,1014,542,65.17,123700,676,35.6
2023,71944,924,32.8,73750,28637,377,268,46,85.35,83700,779,21.5
2023,71945,1455,37.1,37622,21057,782,519,171,75.22,105800,669,22.6
2023,71949,1075,53.1,44732,27595,789,406,103,79.76,131300,-666666666,-666666666.0
2023,71950,860,43.3,55625,44356,469,225,80,73.77,116300,-666666666,-666666666.0
2023,71952,45,68.4,-666666666,31313,39,18,0,100.00,137500,-666666666,-666666666.0
2023,71953,13412,47.8,52355,35583,6924,4795,857,84.84,144200,743,27.3
2023,71956,1274,47.8,46458,25816,729,556,59,90.41,60000,609,45.8
2023,71957,2868,60.8,44295,33471,2297,1057,328,76.32,167700,695,38.1
2023,71958,2324,45.3,50130,24498,1461,789,218,78.35,107800,540,30.2
2023,71959,828,38.5,-666666666,22818,320,231,45,83.70,120800,-666666666,-666666666.0
2023,71960,1202,35.3,53125,27107,688,337,124,73.10,121500,931,20.7
2023,71961,1203,52.8,43389,20648,613,405,109,78.79,95600,718,14.2
2023,71962,825,42.3,-666666666,20724,376,317,4,98.75,109500,-666666666,-666666666.0
2023,71964,4891,48.5,64550,31229,2074,1849,167,91.72,165900,1421,23.3
